Order ID,Order Date,Category,Sub-Category,Region,Ship Mode,Sales
1,2022-12-16,Office Supplies,Binders,West,Second Class,359.05
2,2022-07-24,Technology,Copiers,Central,Second Class,224.17
3,2023-11-12,Office Supplies,Binders,West,First Class,207.34
4,2022-12-25,Office Supplies,Paper,East,Second Class,207.35
5,2022-07-17,Furniture,Chairs,West,Standard Class,697.46
6,2023-02-06,Technology,Accessories,West,Second Class,430.01
7,2023-07-25,Technology,Phones,Central,Same Day,169.66
8,2022-08-27,Office Supplies,Storage,West,Same Day,370.47
9,2023-01-04,Technology,Copiers,South,First Class,299.84
10,2021-07-02,Office Supplies,Binders,West,Same Day,32.39
11,2022-04-18,Technology,Phones,East,First Class,100.69
12,2022-12-22,Furniture,Tables,Central,Second Class,315.92
13,2023-10-12,Technology,Accessories,Central,First Class,654.78
14,2023-06-25,Furniture,Chairs,South,Same Day,208.78
15,2022-10-04,Office Supplies,Binders,East,Standard Class,158.7
16,2022-12-13,Technology,Accessories,South,Same Day,272.1
17,2022-06-20,Office Supplies,Storage,Central,Same Day,150.79
18,2021-04-23,Furniture,Chairs,Central,Second Class,197.66
19,2022-06-14,Office Supplies,Paper,Central,First Class,247.4
20,2023-12-30,Office Supplies,Binders,Central,Standard Class,96.02
21,2021-01-24,Office Supplies,Storage,West,Same Day,445.51
22,2023-01-27,Technology,Copiers,Central,Standard Class,80.28
23,2021-12-03,Office Supplies,Paper,West,Second Class,70.92
24,2023-10-23,Office Supplies,Storage,Central,First Class,290.09
25,2023-06-24,Furniture,Bookcases,East,Second Class,422.0
26,2022-05-27,Furniture,Bookcases,West,Standard Class,284.68
27,2022-09-26,Furniture,Tables,East,Same Day,228.27
28,2022-11-11,Office Supplies,Storage,West,Standard Class,196.11
29,2023-01-16,Furniture,Bookcases,East,Second Class,170.99
30,2021-04-05,Technology,Copiers,Central,Standard Class,515.67
31,2022-03-16,Office Supplies,Paper,West,Standard Class,318.16
32,2021-12-12,Office Supplies,Storage,South,Same Day,182.6
33,2022-09-18,Office Supplies,Binders,Central,Standard Class,140.49
34,2023-09-10,Technology,Copiers,West,First Class,388.14
35,2021-08-20,Office Supplies,Paper,West,Second Class,507.52
36,2022-12-24,Furniture,Tables,South,Same Day,477.18
37,2021-04-04,Office Supplies,Paper,Central,Same Day,120.16
38,2023-12-04,Office Supplies,Binders,West,Standard Class,194.77
39,2022-05-31,Furniture,Bookcases,South,Same Day,168.22
40,2023-09-19,Office Supplies,Storage,Central,First Class,215.74
41,2023-08-27,Office Supplies,Binders,South,Standard Class,442.66
42,2022-10-07,Office Supplies,Paper,South,Same Day,615.34
43,2021-03-24,Office Supplies,Storage,Central,First Class,326.77
44,2023-10-11,Furniture,Chairs,East,Second Class,144.73
45,2023-01-06,Furniture,Bookcases,West,First Class,243.13
46,2023-03-09,Office Supplies,Paper,Central,Second Class,691.88
47,2021-03-10,Furniture,Chairs,South,Second Class,267.24
48,2021-12-12,Office Supplies,Paper,East,First Class,196.45
49,2021-10-29,Technology,Accessories,West,Standard Class,209.83
50,2021-04-04,Office Supplies,Binders,West,First Class,325.73
51,2022-10-20,Office Supplies,Paper,East,Same Day,123.84
52,2022-11-19,Technology,Phones,South,Same Day,164.88
53,2023-02-13,Office Supplies,Binders,South,Second Class,472.47
54,2021-12-23,Office Supplies,Paper,East,Standard Class,319.22
55,2023-06-02,Office Supplies,Paper,West,First Class,269.27
56,2022-10-21,Technology,Copiers,Central,Second Class,488.4
57,2021-01-03,Office Supplies,Binders,South,Same Day,137.2
58,2022-10-13,Office Supplies,Binders,Central,First Class,191.77
59,2021-07-22,Office Supplies,Paper,West,Standard Class,311.84
60,2022-04-05,Furniture,Tables,East,Same Day,304.04
61,2023-05-29,Furniture,Tables,Central,First Class,63.88
62,2023-09-24,Office Supplies,Paper,West,Standard Class,177.07
63,2023-12-18,Furniture,Chairs,East,Same Day,220.05
64,2023-08-28,Office Supplies,Binders,Central,First Class,336.69
65,2021-05-13,Office Supplies,Paper,Central,Second Class,303.26
66,2021-12-16,Technology,Phones,South,First Class,235.86
67,2022-02-25,Furniture,Bookcases,East,Same Day,32.12
68,2021-10-11,Furniture,Chairs,West,Standard Class,244.9
69,2022-01-26,Office Supplies,Binders,West,First Class,261.85
70,2021-07-28,Technology,Accessories,West,Second Class,1094.7
71,2023-11-21,Furniture,Chairs,Central,Standard Class,214.57
72,2021-05-09,Office Supplies,Paper,Central,Second Class,313.06
73,2021-10-28,Technology,Copiers,Central,Standard Class,543.03
74,2022-01-25,Office Supplies,Binders,West,Second Class,425.71
75,2021-01-06,Technology,Phones,Central,First Class,631.92
